ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
185,衛部健食字第A00440號,旨樂清膠囊,調節血脂,Monacolin K,精華生醫股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1538
186,衛部健食字第A00441號,枳椇子朝鮮薊複方錠,護肝,"五味子乙素：0.31 ~ 0.46 mg/g
芝麻素：3.50 ~ 4.64 m",上浤醫藥生技股份有限公司,一日請勿超過4錠，多食無益。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1536
187,衛部健食字第A00442號,樟之力牛樟芝菌絲體膠囊,免疫調節,可能總三萜、腺苷。,綠茵生技股份有限公司,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當運動，為身體健康之基礎。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1537
188,衛部健食字第A00443號,TWK10® 乳酸菌膠囊,抗疲勞,總乳酸菌,生合生物科技股份有限公司,無。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1543
189,衛部健食字第A00444號,輕甘酯膠囊,護肝,本產品以腺苷為品管指標成分，內容物515 mg±10%/粒,泰宗生物科技股份有限公司,無。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1548
190,衛部健食字第A00445號,酐衛複方草本精華膠囊,護肝,"五味子乙素為本品的品管指標成分。
本品每粒膠囊 595 mg ± 5% 中含有五",澤生生技股份有限公司,無。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1547
191,衛部健食字第A00446號,馬玉山高纖大燕麥片,"調節血脂, 免疫調節",β-葡聚醣：2.8% ~ 4.2%,馬玉山食品工業股份有限公司,無。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1546
192,衛部健食字第A00447號,有機檸檬醱酵液,調節血脂,橙皮苷  402~603 μg/mL,健茂科技股份有限公司,飲用本品，在使用藥物前須先諮詢醫師和藥師之意見。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1550
193,衛部健食字第A00448號,多補多β-Glucan膠囊,免疫調節,β-聚葡萄糖  56~84 g/100 g,禮得健康有限公司,無,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1552
194,衛部健食字第A00449號,芯動力膠囊,調節血脂,L-精胺酸：696-1044 mg/2粒,亞洲生化科技股份有限公司,1.懷孕婦女、洗腎病人，食用前請先洽醫療專業人員。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1551
195,衛部健食字第A00450號,青之寶膠囊,調節血脂,"保健功效相關成分含量，每份含
橄欖多酚   12.32~18.48 毫克",晶沛生技有限公司,1.孕婦及嬰幼兒不宜食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1554
196,衛部健食字第A00451號,健字山苦瓜膠囊,調節血糖,三價鉻：64.774~97.160 mg/kg,精華生醫股份有限公司,食用本品，在使用藥物前須先諮詢醫師或藥師。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1555
197,衛部健食字第A00452號,善存益生菌 EX 粉末顆粒,輔助調整過敏體質,每包 2 公克含總乳酸菌數達 1.5 × 10^10 CFU 以上,美商百豐生醫股份有限公司台灣分公司,1. 本品含菊苣纖維，食用後可能產生脹氣及排氣等現象，如有不適者，請停止食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1560
198,衛部健食字第A00453號,威瑪舒培薑黃養護錠,護肝,"薑黃素：77~115 mg/g
芝麻素：4.72~7.08 mg/g",台灣綠金家園有限公司,1.孕婦、哺乳婦女及嬰幼兒應避免食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1556
199,衛部健食字第A00454號,活力錠,抗疲勞,紅景天苷 1.44~2.16 毫克/克,上浤醫藥生技股份有限公司,1.本品含有管花肉蓯蓉萃取物，嬰幼兒、15歲以下小孩、孕婦、哺乳期婦女及服用抗凝血功能藥物者不宜食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1559
200,衛部健食字第A00455號,倍勁®P健康機能飲,"抗疲勞, 護肝","牛磺酸： 1.41~2.12 g/180 mL 
五味子乙素： 595~892 ",三洋藥品工業股份有限公司,1.本品含五味子乙素，服用藥物(如降血壓、降膽固醇或精神科藥物)時，請徵詢醫師或藥師，注意相關藥物之交互作用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1561
201,衛部健食字第A00456號,愛之味純濃燕麥(職人專用),免疫調節,β-聚葡萄糖 344~516毫克/100毫升,愛之味股份有限公司,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1563
202,衛部健食字第A00458號,大研德國極品魚油軟膠囊,調節血脂,"EPA 391 ~ 529 mg/g
DHA 259 ~ 351 mg/g",大研生醫國際股份有限公司,1. 中風及心律不整病人應避免食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1566
203,衛部健食字第A00459號,日月養生滴雞精,抗疲勞,總支鏈胺基酸：0.4%~0.6%,芳茂企業股份有限公司,◎ 支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1568
204,衛部健食字第A00460號,鎂娜®紅景天膠囊,抗疲勞,絡薩維：3.6 ± 0.72亳克/顆 膠囊,豐山生技醫藥品股份有限公司,1. 15歲以下小孩、懷孕或授乳期間婦女，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1569
205,衛部健食字第A00461號,泰山珍穀益南瓜藜麥粥,調節血脂,菊苣纖維2.704%~4.056%,泰山企業股份有限公司,本產品含有菊苣纖維，食用後若有脹氣不適者請停止食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1570
206,衛部健食字第A00462號,善存守護PRO益生菌膠囊,免疫調節,總乳酸菌數 ≥ 1.0 × 10^10 CFU/g,美商百豐生醫股份有限公司台灣分公司,1.一日請勿超過2粒，多食無益。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1572
207,衛部健食字第A00463號,立康生醫益菌多顆粒,胃腸功能改善,1.龍根雙歧桿菌Bifidobacterium longum 1.0 × 101,生展生物科技股份有限公司,過敏原警語：本產品含有牛奶及其製品。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1571
208,衛部健食字第A00464號,金肽康五味子錠,護肝,"五味子乙素   0.74~1.1 mg/g 
芝麻素            9.",德康生物科技股份有限公司,1.AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1573
209,衛部健食字第A00465號,GREENGOLD 藤燃果膠囊,不易形成體脂肪,羥基檸檬酸320~480 mg/g,台灣綠金家園有限公司,1. 如出現消化道不適、頭痛、頭暈、口乾、噁心、出汗等不適症狀，應停止使用並就醫。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1575
210,衛部健食字第A00466號,長庚冬蟲夏草菌絲體膠囊,抗疲勞,腺苷含量 0.63±0.126 mg/350 mg,長庚生物科技股份有限公司,本產品發酵培養基含大豆成分，過敏體質者，請諮詢醫師或醫療專業人員。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1583
211,衛部健食字第A00467號,生活竹韵綠茶,調節血脂,膳食纖維：1.40%~2.10%,三皇生物科技股份有限公司,1.本產品含有膳食纖維，食用後可能會產生排氣與脹氣現象，若有不適者，請停止飲用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1587
212,衛部健食字第A00468號,高纖即食大燕麥片,不易形成體脂肪,β-聚葡萄糖 ：3.93% ± 20%,鈺統食品股份有限公司,1.攝取本產品應取代等量之日常穀類飲食。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1586
213,衛部健食字第A00469號,AB無加糖優酪乳2019年版,胃腸功能改善,總乳酸菌≧1×10^8 CFU/mL,統一企業股份有限公司,無特殊警語,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1588
214,衛部健食字第A00470號,納豆紅麴複方膠囊,調節血脂,Monacolin K： 7.056~10.584 mg/g,愷達生醫有限公司,1.一日請勿超過2顆，多食無益。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1589
215,衛部健食字第A00471號,統一陽光無加糖高纖燕麥穀奶,調節血脂,"菊苣纖維0.80~1.20公克/100毫升
β-聚葡萄糖0.4485~0.667",統一企業股份有限公司,本品含有菊苣纖維，飲用後會促進腸道蠕動，若有脹氣不適者請停止飲用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1591
216,衛部健食字第A00472號,生活竹韵青茶,調節血脂,膳食纖維：1.40% ~ 2.10%,三皇生物科技股份有限公司,1. 本產品含有膳食纖維，食用後可能會產生排氣與脹氣現象，若有不適者，請停止飲用。2. 孩童、懷孕及哺乳婦女與對咖啡因敏,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1592
217,衛部健食規字第000036號(本證失效),台灣紅麴王膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,大江基因醫學股份有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=244
218,衛部健食規字第000038號,好脂速膠囊,"調節血脂, 魚油（規格標準）-調節血脂",Omega-3 acids,悅寶生物科技股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈...等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=252
219,衛部健食規字第000039號,芷靖錠,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,柏諦生物科技股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=249
220,衛部健食規字第000041號,好清醇紅麴素食膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,蒙帝那生物科技股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=254
221,衛部健食規字第000042號,愛之味紅麴保健膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,愛之味股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=271
222,衛部健食規字第000043號,首席麴萃紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,世博生技有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=259
223,衛部健食規字第000044號,歐米茄3深海魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂",Omega-3 acids,大江基因醫學股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=267
224,衛部健食規字第000045號,養生淨魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂",Omega-3 acids,大江生醫股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=268
225,衛部健食規字第000046號,清輕青魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂",Omega-3 acids,台灣第一新藥股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=266
226,衛部健食規字第000047號,雙魚海中寶魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂",Omega-3 acids,德山製藥股份有限公司,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=269
227,衛部健食規字第000048號,漁人健康魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","Omega-3 acids  
二十碳五烯酸  
二十碳六烯酸",漁人製藥股份有限公司,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1492
228,衛部健食規字第000049號,麴康膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,禾懋生物醫學股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=273
229,衛部健食規字第000050號,愛之味深海魚油膠囊,"調節血脂, 魚油（規格標準）-調節血脂","純度含量
二十碳五烯酸 
二十二碳六烯酸",愛之味股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=281
230,衛部健食規字第000051號,精粹紅麴隨手包,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,振翔生物科技有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用 。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=283
231,衛部健食規字第000052號,諾寶紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K,諾貝兒寶貝股份有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=286
232,衛部健食規字第000053號,你滋美得 健康精粹魚油膠囊,"調節血脂, 魚油（規格標準）-調節血脂","純度
二十碳五烯酸 
二十二碳六烯酸",景華生技股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=291
233,衛部健食規字第000054號,悠萃美佳魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA 含量：147-210 毫克/粒
DHA 含量：105-140 毫克/粒
",中南生物科技股份有限公司,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=295
234,衛部健食規字第000055號,如順健康魚油膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA含量：105-150毫克/顆
DHA含量：75-100毫克/顆
魚油純度：",普新生技股份有限公司,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=299
235,衛部健食規字第000057號,紅麴優清膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",HMG-COA還原酵素抑制劑Monacolin K,順天本草股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=304
236,衛部健食規字第000058號,高優質Plus魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA 含量：18%~26% 
DHA 含量：12%~18% 
魚油純度：30~",杏輝藥品工業股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=323
237,衛部健食規字第000059號,安益身清紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",HMG-CoA還原酵素抑制劑Monacolin K,漢生堂生物科技有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=317
238,衛部健食規字第000060號,天明康健紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K 6~8毫克/粒,天明製藥股份有限公司農科分公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=327
239,衛部健食規字第000064號,天明活力順魚油膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA含量： 182~273 毫克 
DHA含量： 123~185毫克 
魚油純",天明製藥股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徴詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=339
240,衛部健食規字第000065號,樂活魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂",魚油純度,臺鹽實業股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徴詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=379
241,衛部健食規字第000066號,伊美維達健康紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",HMG-COA COA還原酵素抑制劑 Monacolin K,茂超醫材生技有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=421
242,衛部健食規字第000067號,優旨樂紅麴膠囊,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",HMG-CoA還原酵素抑制劑,德康生物科技股份有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=426
243,衛部健食規字第000068號,BHK’s深海魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","每份含
EPA 307.2~460.8 mg
DHA 217.6~320 mg
",帝力股份有限公司,1.正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1447
244,衛部健食規字第000069號,北条博士-通醇精純魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","每份2顆含
EPA 307.2~460.8 mg
DHA 217.6~320 m",馬太生物科技有限公司,1.正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1448
245,衛部健食規字第000071號,創普997淨魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA:630-930mg
DHA:480-690mg
魚油純度:40-50%",創普生技股份有限公司,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1461
246,衛部健食規字第000072號,大醫生技紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂","每顆含HMG-CoA還原酵素抑制劑
Monacolin K      9.2~1",大醫生技有限公司,1.	患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1462
247,衛部健食規字第000073號,益健紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂","每份含HMG-CoA還原酵素抑制劑
Monacolin K  4.71~7.05",益力康生物科技有限公司,1.患有嚴重疾病、感染症、肝病或是經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1478
248,衛部健食規字第000074號,優旨樂®深海魚油軟膠囊,"調節血脂功能, 魚油（規格標準）-調節血脂功能","每份2顆含
EPA	307.2~460.8 mg
DHA	217.6~320 m",德康生物科技股份有限公司,1.	本品含有魚油，不適合對其過敏體質者食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1500
249,衛部健食規字第000075號,常春樂活御紅麴膠囊,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",每份含HMG-CoA還原酵素抑制劑Monacolin K含量為4.8~7.2毫克,台視文化事業股份有限公司,1.	患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1495
250,衛部健食規字第000076號,紅麴膠囊,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",每粒膠囊:Monacolin K 6±1.2毫克,三多士股份有限公司,1.懷孕及授乳期間、患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1498
251,衛部健食規字第000077號,常景紅麴膠囊,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",每粒含HMG-CoA還原酵素抑制劑Monacolin K 2.50～3.75毫克,常富養生科技有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1501
252,衛部健食規字第000078號,2812機能魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","每份6顆含
EPA 667.7~1001.5 mg
DHA 367.2~500.",東翔生技股份有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1539
253,衛部健食規字第000079號,金紅麴 植物膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",HMG-CoA還原酵素抑制劑Monacolin K,兆億憓生物科技有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1542
254,衛部健食規字第000080號,菁萃純淨DHA魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","每份6 顆含
EPA 288~432 mg
DHA 918~1368 mg
魚油",宏曄生物科技有限公司,1.嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1541
255,衛部健食規字第000081號,大醫生技DHA+EPA TG型魚油膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA 307.2~460.8 mg
DHA 716.8~1075.2 mg
魚",大醫生技股份有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1544
256,衛部健食規字第000082號,淨醇紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",每份含Monacolin K 9.92~14.88 mg/g,宏曄生物科技有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1549
257,衛部健食規字第000083號,健字紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",每份1顆含HMG-COA還原酵素抑制劑Monacolin K 9.51~14.2,騰勢股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1553
258,衛部健食規字第000084號,保通紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂","每粒膠囊含HMG-CoA還原酵素抑制劑
Monacolin K 2.65~3.9",優生生物科技股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1562
259,衛部健食規字第000086號,速清紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",HMG-CoA還原酵素抑制劑 20-30毫克/公克,上浤醫藥生技股份有限公司,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=156
260,衛部健食規字第000087號,速霸清紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂",Monacolin K：20 ~ 30 mg/g,上浤醫藥生技股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1574
261,衛部健食規字第000088號,活力清魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA	23.0~30.0 g/100 g
DHA	15.0~20.0 g/10",愷達生醫有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1576
262,衛部健食規字第000089號,艾通魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA	23.0~30.0 g/100 g
DHA	15.0~20.0 g/10",綠光生醫有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1581
263,衛部健食規字第000091號,尚介清魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA	22.0 ~ 30.0 g/100 g
DHA	13.6 ~ 20.0 ",上浤醫藥生技股份有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1578
264,衛部健食規字第000092號,速通魚油軟膠囊,"調節血脂, 魚油（規格標準）-調節血脂","EPA	22.0 ~ 30.0 g/100 g
DHA	13.6 ~ 20.0 ",上浤醫藥生技股份有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1580
